# Weather radar timeseries data file
# Comment lines are preceded by "#"
# Description: 
# Time series of a weather radar data over a fixed location.
# Location [lon, lat, alt]: [9.0167, 45.9333, 1600.0]
# Nominal antenna coordinates used [az, el, r]: [np.float64(130.06157245529445), np.float64(-0.08034920311070935), np.float64(18540.205726254302)]
# Data: Radar estimated rain rate (mm/h)
# Fill Value: -9999.0
# Start: 2024-05-22 12:56:12 UTC
#
date,az,el,r,value
2024-05-22 12:56:12.400000,130.52782,-0.19226368,18749.926,0.0
2024-05-22 13:01:20.160000,130.54979,-0.19775693,18749.926,0.0
2024-05-22 13:06:07.570000,130.52782,-0.19775693,18749.926,0.0
2024-05-22 13:11:15.890000,130.54155,-0.19226368,18749.926,0.0
2024-05-22 13:16:04.650000,130.5388,-0.19775693,18749.926,0.0
2024-05-22 13:21:11.720000,130.52507,-0.19226368,18749.926,8.070492
2024-05-22 13:26:19.740000,130.5388,-0.19775693,18749.926,0.0
2024-05-22 13:31:07.890000,130.53606,-0.19775693,18749.926,42.884834
2024-05-22 13:36:15.840000,130.53606,-0.19226368,18749.926,0.0
2024-05-22 13:41:03.690000,130.53606,-0.19775693,18749.926,0.0
2024-05-22 13:46:10.880000,130.53331,-0.19226368,18749.926,0.0
2024-05-22 13:51:18.890000,130.5443,-0.19775693,18749.926,0.0
2024-05-22 13:56:06.680000,130.52782,-0.19775693,18749.926,0.0
2024-05-22 14:01:14.620000,130.52232,-0.19226368,18749.926,0.0
2024-05-22 14:06:02.390000,130.53331,-0.19775693,18749.926,0.0
2024-05-22 14:11:10.390000,130.52782,-0.19226368,18749.926,0.0
2024-05-22 14:16:18.940000,130.53056,-0.19775693,18749.926,0.0
2024-05-22 14:21:06.550000,130.53056,-0.19775693,18749.926,0.0
2024-05-22 14:26:14.620000,130.54704,-0.19226368,18749.926,0.0
2024-05-22 14:31:02.610000,130.53056,-0.19775693,18749.926,0.0
2024-05-22 14:36:10.670000,130.53056,-0.19226368,18749.926,0.0
2024-05-22 14:41:18.300000,130.53056,-0.19775693,18749.926,0.0
2024-05-22 14:46:05.440000,130.53331,-0.19775693,18749.926,0.0
2024-05-22 14:51:14.500000,130.53056,-0.19226368,18749.926,0.0
2024-05-22 14:56:02.220000,130.52232,-0.19775693,18749.926,0.0
2024-05-22 15:01:10.110000,130.53056,-0.20874342,18749.926,0.0
2024-05-22 15:06:17.940000,130.53606,-0.19775693,18749.926,0.0
2024-05-22 15:11:06.050000,130.5388,-0.19775693,18749.926,0.0
2024-05-22 15:16:13.710000,130.53056,-0.19226368,18749.926,0.0
2024-05-22 15:21:21.610000,130.52507,-0.19775693,18749.926,0.0
2024-05-22 15:26:09.270000,130.53056,-0.19775693,18749.926,0.0
2024-05-22 15:31:17.280000,130.52507,-0.19775693,18749.926,0.0
2024-05-22 15:36:05.890000,130.53331,-0.19775693,18749.926,0.0
2024-05-22 15:41:13.670000,130.53331,-0.19226368,18749.926,0.0
2024-05-22 15:46:21.270000,130.5443,-0.19775693,18749.926,0.0
2024-05-22 15:51:09.110000,130.53331,-0.20874342,18749.926,0.0
2024-05-22 15:56:17.220000,130.5388,-0.19775693,18749.926,0.0
2024-05-22 16:01:04.940000,130.5388,-0.19775693,18749.926,0.0
2024-05-22 16:06:13.050000,130.53056,-0.19226368,18749.926,0.0
2024-05-22 16:11:20.910000,130.52782,-0.19775693,18749.926,0.0
2024-05-22 16:16:09.060000,130.52507,-0.19775693,18749.926,0.0
2024-05-22 16:21:16.950000,130.52232,-0.19775693,18749.926,0.0
2024-05-22 16:26:04.610000,130.52232,-0.19775693,18749.926,0.0
2024-05-22 16:31:12.390000,130.52232,-0.19226368,18749.926,0.0
2024-05-22 16:36:20.390000,130.52232,-0.19775693,18749.926,0.0
2024-05-22 16:41:08.510000,130.53056,-0.23620966,18749.926,0.0
2024-05-22 16:46:16.050000,130.53056,-0.19226368,18749.926,0.0
2024-05-22 16:51:04,130.52782,-0.19775693,18749.926,0.0
2024-05-22 16:56:11.720000,130.53056,-0.19226368,18749.926,0.0
2024-05-22 17:01:19.720000,130.52232,-0.19775693,18749.926,0.0
2024-05-22 17:06:07.370000,130.53606,-0.19775693,18749.926,0.0
2024-05-22 17:11:15.110000,130.54155,-0.19226368,18749.926,0.0
2024-05-22 17:16:03.830000,130.52507,-0.19775693,18749.926,0.0
2024-05-22 17:21:11.550000,130.53056,-0.19226368,18749.926,0.0
2024-05-22 17:26:19.620000,130.52232,-0.19775693,18749.926,0.0
2024-05-22 17:31:07.730000,130.53056,-0.19775693,18749.926,0.0
2024-05-22 17:36:14.720000,130.53056,-0.19226368,18749.926,0.0
2024-05-22 17:41:02.730000,130.5388,-0.19775693,18749.926,0.0
2024-05-22 17:46:10.780000,130.52782,-0.19226368,18749.926,0.0
2024-05-22 17:51:18.550000,130.52232,-0.19775693,18749.926,0.0
2024-05-22 17:56:06.560000,130.52782,-0.19775693,18749.926,0.0
2024-05-22 18:01:14.190000,130.53606,-0.19226368,18749.926,0.0
2024-05-22 18:06:02.830000,130.52782,-0.19775693,18749.926,0.0
2024-05-22 18:11:09.740000,130.52232,-0.19226368,18749.926,0.0
2024-05-22 18:16:17.450000,130.53606,-0.19775693,18749.926,0.0
2024-05-22 18:21:06.270000,130.52507,-0.19775693,18749.926,0.0
2024-05-22 18:26:14.230000,130.52782,-0.19226368,18749.926,0.0
2024-05-22 18:31:02,130.53606,-0.19775693,18749.926,0.0
2024-05-22 18:36:09.480000,130.53331,-0.19226368,18749.926,0.0
2024-05-22 18:41:17.890000,130.52232,-0.19775693,18749.926,0.0
2024-05-22 18:46:05.170000,130.52507,-0.19775693,18749.926,0.0
2024-05-22 18:51:13.390000,130.51958,-0.19226368,18749.926,0.0
2024-05-22 18:56:21.120000,130.53056,-0.19775693,18749.926,0.0
