# Weather radar timeseries data file
# Comment lines are preceded by "#"
# Description: 
# Time series of a weather radar data over a fixed location.
# Location [lon, lat, alt]: [8.6333, 45.667, 289.2]
# Nominal antenna coordinates used [az, el, r]: [np.float64(200.50406733021325), np.float64(-1.7264721008258725), np.float64(44370.592492192605)]
# Data: Radar estimated rain rate (mm/h)
# Fill Value: -9999.0
# Start: 2024-05-22 12:56:16 UTC
#
date,az,el,r,value
2024-05-22 12:56:16.280000,200.52278,-0.19226368,44249.824,0.0
2024-05-22 13:01:04.050000,200.53377,-0.19775693,44249.824,0.0
2024-05-22 13:06:11.460000,200.53651,-0.19775693,44249.824,0.0
2024-05-22 13:11:19.820000,200.542,-0.19226368,44249.824,0.0
2024-05-22 13:16:08.540000,200.53377,-0.19775693,44249.824,0.0
2024-05-22 13:21:15.610000,200.52553,-0.19226368,44249.824,0.0
2024-05-22 13:26:03.620000,200.52553,-0.19775693,44249.824,0.0
2024-05-22 13:31:11.780000,200.52553,-0.19775693,44249.824,0.0
2024-05-22 13:36:19.720000,200.53651,-0.19226368,44249.824,0.0
2024-05-22 13:41:07.580000,200.52827,-0.19775693,44249.824,0.0
2024-05-22 13:46:14.760000,200.52827,-0.19226368,44249.824,0.0
2024-05-22 13:51:02.780000,200.53377,-0.19775693,44249.824,0.0
2024-05-22 13:56:10.550000,200.52553,-0.19775693,44249.824,0.0
2024-05-22 14:01:18.500000,200.53102,-0.19226368,44249.824,0.0
2024-05-22 14:06:06.270000,200.53377,-0.19775693,44249.824,1.0675255
2024-05-22 14:11:14.280000,200.53102,-0.19226368,44249.824,0.0
2024-05-22 14:16:02.860000,200.53377,-0.19775693,44249.824,0.0
2024-05-22 14:21:10.450000,200.53102,-0.19775693,44249.824,0.0
2024-05-22 14:26:18.500000,200.53377,-0.19226368,44249.824,0.0
2024-05-22 14:31:06.490000,200.52827,-0.19775693,44249.824,14.125376
2024-05-22 14:36:14.550000,200.52553,-0.19226368,44249.824,7.7356167
2024-05-22 14:41:02.180000,200.53377,-0.19775693,44249.824,9.141718
2024-05-22 14:46:09.320000,200.53102,-0.19775693,44249.824,10.677398
2024-05-22 14:51:18.380000,200.53102,-0.19226368,44249.824,6.325863
2024-05-22 14:56:06.120000,200.53651,-0.19775693,44249.824,10.886208
2024-05-22 15:01:14,200.53926,-0.20874342,44249.824,11.143735
2024-05-22 15:06:01.830000,200.52553,-0.19775693,44249.824,36.866062
2024-05-22 15:11:09.940000,200.53651,-0.19775693,44249.824,14.36516
2024-05-22 15:16:17.610000,200.53377,-0.19226368,44249.824,11.871892
2024-05-22 15:21:05.500000,200.53651,-0.19775693,44249.824,6.343545
2024-05-22 15:26:13.160000,200.52278,-0.19775693,44249.824,5.3088446
2024-05-22 15:31:21.170000,200.53102,-0.19775693,44249.824,2.7371292
2024-05-22 15:36:09.780000,200.52278,-0.19775693,44249.824,3.5481339
2024-05-22 15:41:17.560000,200.52827,-0.19226368,44249.824,1.9952623
2024-05-22 15:46:05.160000,200.53102,-0.19775693,44249.824,3.2221217
2024-05-22 15:51:13,200.52827,-0.20874342,44249.824,1.0592537
2024-05-22 15:56:21.110000,200.53377,-0.19775693,44249.824,1.4036291
2024-05-22 16:01:08.820000,200.52827,-0.19775693,44249.824,0.8912509
2024-05-22 16:06:16.950000,200.52827,-0.19226368,44249.824,2.5738664
2024-05-22 16:11:04.800000,200.53926,-0.19775693,44249.824,0.84385943
2024-05-22 16:16:12.960000,200.52827,-0.19775693,44249.824,0.5633153
2024-05-22 16:21:20.820000,200.52278,-0.19775693,44249.824,0.532595
2024-05-22 16:26:08.490000,200.52003,-0.19775693,44249.824,0.56395364
2024-05-22 16:31:16.320000,200.52278,-0.19226368,44249.824,0.8045498
2024-05-22 16:36:04.280000,200.53102,-0.19775693,44249.824,1.0660415
